,id,rr,rg,rb,rc,value
0,N1,110,149,129,421,72.0
1,N2,128,162,135,458,90.2
2,N3,88,135,120,375,62.4
3,N5,91,137,122,381,56.9
4,N6,100,143,125,401,66.5
5,N7,115,153,130,431,76.8
6,N8,129,163,136,461,87.3
7,N9,134,166,136,470,98.8
8,N10,154,181,145,515,104.0
9,X10,111,152,131,427,73.9
10,X11,136,167,137,474,64.5
11,X12,97,143,126,398,59.3
12,X13,97,144,127,401,53.8
13,R1,160,184,147,527,108.2
14,R1,160,184,147,527,105.4
15,R4,128,161,134,457,93.9
16,R5,122,157,132,444,85.5
17,R6,124,159,134,449,83.7
18,B5,124,157,132,446,87.1
19,B7,132,165,136,467,91.9
20,B8,132,163,135,463,94.2
