,id,rr,rg,rb,rc,value
0,N1,145,181,174,561,72.0
1,N2,163,193,180,598,90.2
2,N3,126,169,166,520,62.4
3,N5,124,170,167,520,56.9
4,N6,132,173,167,531,66.5
5,N7,133,172,166,530,76.8
6,N8,168,196,181,609,87.3
7,N10,192,213,191,663,104.0
8,N11,174,197,180,615,93.6
9,X07,199,222,199,688,98.6
10,X14,128,173,170,530,56.1
11,R1,188,210,190,655,108.2
12,R1,188,210,190,655,105.4
13,R3,169,197,182,613,96.0
14,R4,172,197,184,616,93.9
15,R5,138,176,171,545,85.5
16,R6,159,190,179,591,83.7
17,B1,166,194,179,603,92.9
18,B3,165,193,178,599,93.4
19,B7,174,200,187,622,91.9
20,B8,166,192,177,598,94.2
21,B9,150,184,174,569,83.4
