,id,rr,rg,rb,rc,value
0,N1,125,169,166,499,72.0
1,N2,163,194,181,580,90.2
2,N3,113,161,161,474,62.4
3,N5,111,161,161,471,56.9
4,N8,155,188,177,560,87.3
5,N9,169,197,182,589,98.8
6,N10,186,208,188,624,104.0
7,X07,156,190,178,565,98.6
8,X09,149,186,177,553,81.4
9,X11,166,195,180,582,64.5
10,X12,116,165,165,485,59.3
11,X13,114,166,166,486,53.8
12,X15,107,163,165,473,40.9
13,R1,196,216,194,649,108.2
14,R1,196,216,194,649,105.4
15,R4,147,181,171,538,93.9
16,R5,147,183,174,545,85.5
17,B2,152,184,173,550,88.6
18,B3,152,184,173,549,93.4
19,B7,155,188,176,559,91.9
20,B8,161,191,178,570,94.2
21,B9,136,168,150,487,83.4
