,cr,cg,cb,lux,ct,rr,rg,rb,rc,label,value,value_norm,description
0,40,37,34,20,4629,98,116,100,340,Extremely Light,105.4,0.8234375,Norman #7
1,36,35,32,19,4777,88,110,97,320,Extremely Light,95.0,0.7421875,Norman #8
2,35,35,32,19,4874,87,110,97,319,Very Light ,88.8,0.69375,Norman #9
3,32,33,31,17,5081,80,104,92,300,Light,79.6,0.621875,Norman #10
4,31,32,31,16,5201,76,103,93,296,Medium Light,70.4,0.55,Norman #11
5,30,32,31,16,5328,73,102,93,293,Medium Light,63.8,0.4984375,Norman #12
6,28,31,30,16,5473,69,99,91,282,Medium,57.9,0.45234375,Norman #13
7,29,32,31,16,5463,71,100,92,288,Medium,59.9,0.46796875,Norman #14
8,26,30,30,15,5787,63,96,89,273,Medium Dark,44.5,0.34765625,Norman #15
9,25,30,30,15,5963,61,95,89,269,Dark,36.1,0.28203125,Norman #16
10,35,35,33,18,4983,87,111,98,321,Very Light,81.8,0.6390625,La Minita
11,39,37,34,20,4712,96,116,100,336,Extremely Light,101.8,0.7953125,Shin Old
12,38,36,34,19,4799,94,115,100,334,Extremely Light,97.8,0.7640625,Jonny Kenya
13,33,33,32,17,5085,81,106,95,306,Light,74.4,0.58125,Jonny Ethiopia
